id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
3004,Super Earth,2021,1.87 Earths,1.201 x Earth,0.0385 AU,2.8 days,0.0,
3005,Super Earth,2023,1.92 Earths,1.21 x Earth,0.0576 AU,5.1 days,0.0,
3006,Neptune-like,2021,5.14 Earths,2.119 x Earth,0.0615 AU,6.1 days,0.0,
3007,Neptune-like,2021,9.8 Earths,0.277 x Jupiter,0.2529 AU,44.9 days,0.0,
3008,Neptune-like,2021,8.32 Earths,0.251 x Jupiter,0.1546 AU,24.2 days,0.0,
3009,Terrestrial,2021,0.76 Earths,0.934 x Earth,0.0522 AU,4.8 days,0.0,
3010,Super Earth,2021,3.02 Earths,1.551 x Earth,0.0457 AU,4.1 days,0.0,
3011,Super Earth,2014,1.92 Earths,1.21 x Earth,0.088 AU,10.4 days,0.0,
3012,Super Earth,2014,22.7 Earths,0.212 x Jupiter,0.137 AU,20.1 days,0.0,
3013,Super Earth,2011,6.9 Earths,2.0 x Earth,0.0447 AU,3.5 days,0.0,
3014,Neptune-like,2011,17.3 Earths,0.49 x Jupiter,0.0752 AU,7.6 days,0.0,
3015,Neptune-like,2011,16.4 Earths,0.623 x Jupiter,0.1172 AU,14.9 days,0.0,
3016,Super Earth,2021,3.27 Earths,1.623 x Earth,0.042 AU,3 days,0.0,
3017,Super Earth,2021,2.77 Earths,1.474 x Earth,0.0453 AU,3.5 days,0.0,
3018,Super Earth,2021,1.74 Earths,1.176 x Earth,0.0385 AU,3.8 days,0.0,
3019,Neptune-like,2021,5.85 Earths,0.204 x Jupiter,0.1321 AU,17.1 days,0.0,
3020,Super Earth,2021,2.51 Earths,1.39 x Earth,0.0436 AU,4.6 days,0.0,
3021,Super Earth,2021,2.69 Earths,1.446 x Earth,0.0451 AU,3.4 days,0.0,
3022,Neptune-like,2021,8.13 Earths,0.248 x Jupiter,0.0738 AU,7.4 days,0.0,
3023,Terrestrial,2021,0.589 Earths,0.87 x Earth,0.0565 AU,5.7 days,0.0,
3024,Super Earth,2021,1.63 Earths,1.155 x Earth,0.1076 AU,14.9 days,0.0,
3025,Super Earth,2021,1.33 Earths,1.092 x Earth,0.0306 AU,2.4 days,0.0,
3026,Super Earth,2014,3.05 Earths,1.56 x Earth,0.03 AU,2 days,0.0,
3027,Super Earth,2014,2.73 Earths,1.46 x Earth,0.045 AU,3.8 days,0.0,
3028,Super Earth,2021,1.78 Earths,1.184 x Earth,0.0536 AU,5.7 days,0.0,
3029,Super Earth,2021,1.01 Earths,1.011 x Earth,0.0636 AU,6 days,0.0,
3030,Super Earth,2021,2.41 Earths,1.357 x Earth,0.0646 AU,6.1 days,0.0,
3031,Super Earth,2021,2.92 Earths,1.519 x Earth,0.1209 AU,14.2 days,0.0,
3032,Neptune-like,2021,8.97 Earths,0.263 x Jupiter,0.1954 AU,30.8 days,0.0,
3033,Neptune-like,2021,10.4 Earths,0.287 x Jupiter,0.114 AU,13.8 days,0.0,
3034,Neptune-like,2021,7.35 Earths,0.234 x Jupiter,0.2053 AU,31.3 days,0.0,
3035,Super Earth,2021,4.23 Earths,1.89 x Earth,0.103 AU,12.9 days,0.0,
3036,Neptune-like,2021,5.89 Earths,0.205 x Jupiter,0.2524 AU,47.1 days,0.0,
3037,Neptune-like,2021,7.38 Earths,0.234 x Jupiter,0.2107 AU,37.9 days,0.0,
3038,Super Earth,2014,2.36 Earths,1.34 x Earth,0.087 AU,9.9 days,0.0,
3039,Super Earth,2014,4.12 Earths,1.86 x Earth,0.128 AU,17.7 days,0.0,
3040,Neptune-like,2016,5.82 Earths,0.203 x Jupiter,0.0599 AU,5.9 days,0.0,
3041,Neptune-like,2021,9.03 Earths,0.264 x Jupiter,0.2043 AU,30.3 days,0.0,
3042,Neptune-like,2021,8.72 Earths,0.258 x Jupiter,0.1557 AU,20 days,0.0,
3043,Super Earth,2023,2.57 Earths,1.41 x Earth,0.0454 AU,3.2 days,0.0,
3044,Neptune-like,2021,5.86 Earths,0.204 x Jupiter,0.1077 AU,13.2 days,0.0,
3045,Super Earth,2021,4.5 Earths,1.96 x Earth,0.2846 AU,52.6 days,0.0,
3046,Neptune-like,2021,7.53 Earths,0.237 x Jupiter,0.1216 AU,15.3 days,0.0,
3047,Neptune-like,2021,9.28 Earths,0.268 x Jupiter,0.2588 AU,46.7 days,0.0,
3048,Neptune-like,2021,5.97 Earths,0.207 x Jupiter,0.2197 AU,42.9 days,0.0,
3049,Neptune-like,2021,11.5 Earths,0.304 x Jupiter,0.3859 AU,73.8 days,0.0,
3050,Super Earth,2021,4.63 Earths,1.992 x Earth,0.194 AU,19.6 days,0.43,
3051,Neptune-like,2021,9.65 Earths,0.274 x Jupiter,0.2987 AU,59.4 days,0.0,
3052,Neptune-like,2014,7.95 Earths,0.244 x Jupiter,0.09 AU,9.9 days,0.0,
3053,Neptune-like,2014,8.2 Earths,0.249 x Jupiter,0.15 AU,21.2 days,0.0,
3054,Super Earth,2016,1.04 Earths,1.02 x Earth,0.0668 AU,6.5 days,0.0,
3055,Super Earth,2021,2.95 Earths,1.53 x Earth,0.1025 AU,13 days,0.0,
3056,Neptune-like,2021,7.53 Earths,0.237 x Jupiter,0.2356 AU,38.6 days,0.0,
3057,Super Earth,2021,2.91 Earths,1.515 x Earth,0.0123 AU,0.5 days,0.0,
3058,Super Earth,2021,1.76 Earths,1.18 x Earth,0.0561 AU,4.9 days,0.0,
3059,Terrestrial,2021,0.702 Earths,0.913 x Earth,0.0245 AU,1.4 days,0.0,
3060,Neptune-like,2021,6.82 Earths,0.223 x Jupiter,0.0463 AU,4 days,0.0,
3061,Neptune-like,2021,10.2 Earths,0.282 x Jupiter,0.5548 AU,126.6 days,0.0,
3062,Neptune-like,2021,9.39 Earths,0.27 x Jupiter,0.0943 AU,9.7 days,0.0,
3063,Super Earth,2021,4 Earths,1.828 x Earth,0.0938 AU,13.1 days,0.0,
3064,Super Earth,2021,1.68 Earths,1.165 x Earth,0.0334 AU,2.8 days,0.0,
3065,Neptune-like,2014,6.3 Earths,0.213 x Jupiter,0.106 AU,11.4 days,0.0,
3066,Neptune-like,2014,8 Earths,0.245 x Jupiter,0.286 AU,50.7 days,0.0,
3067,Super Earth,2021,3.01 Earths,1.547 x Earth,0.0525 AU,5 days,0.0,
3068,Neptune-like,2021,7.51 Earths,0.236 x Jupiter,0.2054 AU,31.3 days,0.0,
3069,Neptune-like,2021,5.13 Earths,2.117 x Earth,0.0516 AU,4.6 days,0.0,
3070,Super Earth,2021,3.02 Earths,1.549 x Earth,0.0571 AU,4.9 days,0.0,
3071,Neptune-like,2021,8.05 Earths,0.246 x Jupiter,0.0918 AU,9.8 days,0.0,
3072,Super Earth,2021,2.21 Earths,1.289 x Earth,0.0597 AU,6.1 days,0.0,
3073,Neptune-like,2021,6.75 Earths,0.222 x Jupiter,0.0394 AU,3 days,0.0,
3074,Super Earth,2021,1.01 Earths,1.01 x Earth,0.0711 AU,7 days,0.0,
3075,Super Earth,2021,1.09 Earths,1.033 x Earth,0.1022 AU,15.6 days,0.0,
3076,Neptune-like,2021,5.56 Earths,2.22 x Earth,0.0352 AU,2.2 days,0.0,
3077,Super Earth,2014,2.89 Earths,1.51 x Earth,0.032 AU,2.1 days,0.0,
3078,Neptune-like,2014,7.22 Earths,0.231 x Jupiter,0.131 AU,17.3 days,0.0,
3079,Neptune-like,2014,6.35 Earths,0.214 x Jupiter,0.275 AU,52.8 days,0.0,
3080,Super Earth,2021,2.95 Earths,1.527 x Earth,0.0871 AU,10.8 days,0.0,
3081,Neptune-like,2021,6 Earths,0.207 x Jupiter,0.1435 AU,20.7 days,0.0,
3082,Super Earth,2021,2.07 Earths,1.239 x Earth,0.1724 AU,27.2 days,0.0,
3083,Super Earth,2021,2.2 Earths,1.286 x Earth,0.0607 AU,6.2 days,0.0,
3084,Super Earth,2021,3.9 Earths,1.802 x Earth,0.0625 AU,5.9 days,0.0,
3085,Super Earth,2021,1.69 Earths,1.167 x Earth,0.117 AU,14.3 days,0.0,
3086,Super Earth,2021,1.32 Earths,1.089 x Earth,0.0563 AU,5.9 days,0.0,
3087,Terrestrial,2021,0.79 Earths,0.944 x Earth,0.0299 AU,2.2 days,0.0,
3088,Super Earth,2021,4.86 Earths,2.051 x Earth,0.0856 AU,9.3 days,0.0,
3089,Super Earth,2021,1.57 Earths,1.143 x Earth,0.0617 AU,6.4 days,0.0,
3090,Super Earth,2014,4.78 Earths,2.03 x Earth,0.077 AU,8.3 days,0.0,
3091,Super Earth,2014,3.02 Earths,1.55 x Earth,0.197 AU,34.1 days,0.0,
3092,Super Earth,2021,2.26 Earths,1.307 x Earth,0.0354 AU,2.3 days,0.0,
3093,Super Earth,2021,3.25 Earths,1.619 x Earth,0.0588 AU,5.6 days,0.0,
3094,Super Earth,2021,1.95 Earths,1.215 x Earth,0.0783 AU,8 days,0.0,
3095,Terrestrial,2021,0.337 Earths,0.744 x Earth,0.0298 AU,2 days,0.0,
3096,Super Earth,2021,3.83 Earths,1.781 x Earth,0.0322 AU,2.4 days,0.0,
3097,Super Earth,2021,2.4 Earths,1.354 x Earth,0.2301 AU,41.9 days,0.0,
3098,Super Earth,2021,1.39 Earths,1.105 x Earth,0.0763 AU,8.6 days,0.0,
3099,Terrestrial,2021,0.315 Earths,0.73 x Earth,0.0735 AU,7.3 days,0.0,
3100,Super Earth,2021,2.86 Earths,1.5 x Earth,0.0696 AU,7.3 days,0.0,
3101,Super Earth,2021,3.47 Earths,1.682 x Earth,0.0717 AU,6.6 days,0.0,
3102,Super Earth,2014,4.27 Earths,1.9 x Earth,0.138 AU,20.7 days,0.0,
3103,Neptune-like,2014,5.65 Earths,0.2 x Jupiter,0.24 AU,47.4 days,0.0,
3104,Neptune-like,2021,7.56 Earths,0.237 x Jupiter,0.4484 AU,122.1 days,0.0,
3105,Super Earth,2014,2.02 Earths,0.802 x Earth,0.0763 AU,7.5 days,0.07,
3106,Super Earth,2014,2.11 Earths,0.868 x Earth,0.1041 AU,11.3 days,0.04,
3107,Gas Giant,2023,Unknown,1.043 x Jupiter,0.0565 AU,5 days,0.0,Transit Timing Variations
3108,Super Earth,2023,3.39 Earths,1.66 x Earth,0.0486 AU,4.5 days,0.0,
3109,Neptune-like,2023,7.61 Earths,0.268 x Jupiter,0.0914 AU,10.8 days,0.0,
3110,Gas Giant,2023,250 Jupiters,0.386 x Jupiter,0.1383 AU,18.5 days,0.0,
3111,Super Earth,2014,1.04 Earths,1.02 x Earth,0.06 AU,5.6 days,0.02,
3112,Super Earth,2014,5.3 Earths,1.23 x Earth,0.09 AU,10.3 days,0.08,
3113,Super Earth,2014,1.98 Earths,1.22 x Earth,0.119 AU,15.7 days,0.03,
3114,Terrestrial,2014,0.693 Earths,0.91 x Earth,0.164 AU,25.2 days,0.38,
3115,Neptune-like,2023,5.52 Earths,0.254 x Jupiter,0.2049 AU,33 days,0.0,
3116,Gas Giant,2023,0.197 Jupiters,0.84 x Jupiter,1.3292 AU,453.5 days,0.0,
3117,Terrestrial,2023,0.381 Earths,0.77 x Earth,0.0511 AU,3.8 days,0.0,
3118,Neptune-like,2023,6.04 Earths,2.33 x Earth,0.0689 AU,7.3 days,0.0,
3119,Neptune-like,2023,37.3 Earths,6.81 x Earth,0.0238 AU,2 days,0.0,
3120,Neptune-like,2023,5.77 Earths,2.27 x Earth,0.0426 AU,3.4 days,0.0,
3121,Super Earth,2023,4.23 Earths,0.263 x Jupiter,0.1307 AU,19.5 days,0.0,
3122,Super Earth,2023,2.04 Earths,1.23 x Earth,0.0318 AU,2.3 days,0.0,
3123,Super Earth,2023,2.33 Earths,1.33 x Earth,0.0427 AU,3.6 days,0.0,
3124,Neptune-like,2023,7.56 Earths,0.291 x Jupiter,0.0571 AU,5.6 days,0.0,
3125,Super Earth,2023,4.35 Earths,0.219 x Jupiter,0.0765 AU,8.7 days,0.0,
3126,Super Earth,2023,2.96 Earths,1.53 x Earth,0.1038 AU,11.5 days,0.0,
3127,Neptune-like,2023,19.3 Earths,0.425 x Jupiter,0.0918 AU,10.2 days,0.0,
3128,Neptune-like,2014,8.35 Earths,0.252 x Jupiter,0.131 AU,17.8 days,0.0,
3129,Neptune-like,2014,6.66 Earths,0.22 x Jupiter,0.259 AU,49.6 days,0.0,
3130,Super Earth,2016,2.96 Earths,1.53 x Earth,0.0229 AU,1.3 days,0.0,
3131,Neptune-like,2023,10.7 Earths,0.349 x Jupiter,0.0286 AU,1.7 days,0.0,
3132,Terrestrial,2023,0.904 Earths,0.98 x Earth,0.0504 AU,4.1 days,0.0,
3133,Super Earth,2023,2.76 Earths,1.47 x Earth,0.1065 AU,13.3 days,0.0,
3134,Neptune-like,2023,7.13 Earths,0.259 x Jupiter,0.1528 AU,22.8 days,0.0,
3135,Terrestrial,2023,0.693 Earths,0.91 x Earth,0.1169 AU,15.6 days,0.0,
3136,Neptune-like,2023,16.1 Earths,0.395 x Jupiter,0.1943 AU,26.7 days,0.0,
3137,Terrestrial,2023,0.087 Earths,0.51 x Earth,0.053 AU,4.6 days,0.0,
3138,Neptune-like,2023,16.9 Earths,0.412 x Jupiter,0.3259 AU,73.8 days,0.0,
3139,Neptune-like,2023,5.73 Earths,0.205 x Jupiter,0.1789 AU,32.4 days,0.0,
3140,Neptune-like,2023,8.3 Earths,0.251 x Jupiter,0.3608 AU,92.7 days,0.0,
3141,Neptune-like,2023,5.82 Earths,0.218 x Jupiter,0.1815 AU,26.8 days,0.0,
3142,Terrestrial,2023,0.156 Earths,0.6 x Earth,0.0405 AU,3 days,0.0,
3143,Neptune-like,2023,10.8 Earths,0.317 x Jupiter,0.0713 AU,8.7 days,0.0,
3144,Neptune-like,2014,9.85 Earths,0.277 x Jupiter,0.158 AU,23.6 days,0.0,
3145,Neptune-like,2014,10.6 Earths,0.29 x Jupiter,0.316 AU,67.1 days,0.0,
3146,Super Earth,2011,6.1 Earths,2.209 x Earth,0.0846 AU,9.3 days,< 0.41,
3147,Neptune-like,2011,13.1 Earths,0.328 x Jupiter,Unknown,28.7 days,0.21,Transit Timing Variations
3148,Neptune-like,2017,22.5 Earths,0.451 x Jupiter,Unknown,63 days,0.05,
3149,Neptune-like,2023,7.9 Earths,0.296 x Jupiter,0.0562 AU,6.4 days,0.0,
3150,Super Earth,2023,3.09 Earths,1.57 x Earth,0.1228 AU,20.6 days,0.0,
3151,Super Earth,2023,1.12 Earths,1.04 x Earth,0.0197 AU,1.1 days,0.0,
3152,Super Earth,2023,3.97 Earths,0.364 x Jupiter,0.1084 AU,14.1 days,0.0,
3153,Neptune-like,2014,5.18 Earths,2.13 x Earth,0.08 AU,8.6 days,0.0,
3154,Super Earth,2014,3.15 Earths,1.59 x Earth,0.09 AU,10.2 days,0.0,
3155,Neptune-like,2014,6.62 Earths,0.219 x Jupiter,0.175 AU,25.7 days,0.0,
3156,Neptune-like,2014,8.5 Earths,0.254 x Jupiter,0.573 AU,151.9 days,0.0,
3157,Super Earth,2014,3.29 Earths,1.63 x Earth,0.045 AU,4.1 days,0.0,
3158,Super Earth,2014,4.08 Earths,1.85 x Earth,0.113 AU,16.3 days,0.0,
3159,Neptune-like,2014,7.13 Earths,0.229 x Jupiter,0.043 AU,3.2 days,0.0,
3160,Super Earth,2014,2.36 Jupiters,0.22 x Jupiter,0.061 AU,5.4 days,0.0,
3161,Super Earth,2014,33.9 Earths,1.44 x Earth,0.1 AU,11.3 days,0.0,
3162,Neptune-like,2014,6.94 Earths,0.226 x Jupiter,0.117 AU,14.4 days,0.0,
3163,Super Earth,2014,3.86 Earths,1.79 x Earth,0.173 AU,25.7 days,0.0,
3164,Super Earth,2014,2.89 Earths,1.51 x Earth,0.032 AU,2.8 days,0.0,
3165,Super Earth,2014,3.33 Earths,1.64 x Earth,0.122 AU,20.3 days,0.0,
3166,Super Earth,2014,1.87 Earths,1.2 x Earth,0.078 AU,7.8 days,0.0,
3167,Super Earth,2014,3.78 Earths,1.77 x Earth,0.111 AU,13.1 days,0.0,
3168,Super Earth,2014,1.81 Earths,1.19 x Earth,0.163 AU,23.4 days,0.0,
3169,Super Earth,2014,3.09 Earths,1.57 x Earth,0.029 AU,1.6 days,0.0,
3170,Super Earth,2014,2.86 Earths,1.5 x Earth,0.044 AU,3.1 days,0.0,
3171,Neptune-like,2014,11 Earths,0.295 x Jupiter,0.068 AU,5.9 days,0.0,
3172,Super Earth,2014,3.29 Earths,1.63 x Earth,0.054 AU,4.2 days,0.0,
3173,Super Earth,2014,2.51 Earths,1.39 x Earth,0.079 AU,7.5 days,0.0,
3174,Super Earth,2014,1.87 Earths,1.2 x Earth,0.103 AU,11.1 days,0.0,
3175,Super Earth,2014,2.79 Earths,1.48 x Earth,0.132 AU,16.3 days,0.0,
3176,Neptune-like,2014,5.73 Earths,0.202 x Jupiter,0.122 AU,16.1 days,0.0,
3177,Neptune-like,2014,9.8 Earths,0.277 x Jupiter,0.231 AU,41.7 days,0.0,
3178,Super Earth,2011,9.7 Earths,1.773 x Earth,0.04565 AU,3.7 days,< 0.083,
3179,Neptune-like,2011,11.1 Earths,0.258 x Jupiter,0.0936 AU,10.9 days,< 0.076,
3180,Super Earth,2011,13.4 Earths,0.232 x Jupiter,0.3474 AU,77.6 days,< 0.082,
3181,Terrestrial,2011,0.76 Earths,0.821 x Earth,0.0637 AU,6.1 days,< 0.092,
3182,Super Earth,2011,1.4 Earths,0.952 x Earth,0.1387 AU,19.6 days,< 0.094,
3183,Neptune-like,2016,19.96 Earths,0.42 x Jupiter,0.2055 AU,34.9 days,0.15,
3184,Neptune-like,2014,8.96 Earths,0.262 x Jupiter,0.032 AU,2.5 days,0.0,
3185,Neptune-like,2014,12.8 Earths,0.323 x Jupiter,0.07 AU,8 days,0.0,
3186,Super Earth,2014,2.13 Earths,1.26 x Earth,0.048 AU,4.1 days,0.0,
3187,Super Earth,2014,18.3 Earths,1.29 x Earth,0.062 AU,6 days,0.0,
3188,Super Earth,2014,1.32 Earths,1.09 x Earth,0.133 AU,16.3 days,0.0,
3189,Neptune-like,2014,7.95 Earths,0.244 x Jupiter,0.207 AU,31.8 days,0.0,
3190,Super Earth,2014,3.26 Earths,1.62 x Earth,0.036 AU,2.5 days,0.0,
3191,Neptune-like,2014,6.08 Earths,0.209 x Jupiter,0.057 AU,4.8 days,0.0,
3192,Neptune-like,2014,7.32 Earths,0.233 x Jupiter,0.13 AU,15.7 days,0.0,
3193,Neptune-like,2014,5.18 Earths,2.13 x Earth,0.194 AU,28.8 days,0.0,
3194,Super Earth,2014,3.26 Earths,1.62 x Earth,0.084 AU,9.4 days,0.0,
3195,Super Earth,2014,3.78 Earths,1.77 x Earth,0.113 AU,14.7 days,0.0,
3196,Super Earth,2014,23.6 Earths,0.213 x Jupiter,0.185 AU,30.9 days,0.0,
3197,Super Earth,2014,3.71 Earths,1.75 x Earth,0.314 AU,68.2 days,0.0,
3198,Neptune-like,2014,6.12 Earths,0.21 x Jupiter,0.079 AU,7.7 days,0.0,
3199,Neptune-like,2014,9.48 Earths,0.271 x Jupiter,0.136 AU,17.4 days,0.0,
3200,Neptune-like,2014,5.6 Earths,2.23 x Earth,0.065 AU,5.4 days,0.0,
3201,Super Earth,2014,4.08 Earths,1.85 x Earth,0.089 AU,8.6 days,0.0,
3202,Super Earth,2016,2.3 Earths,1.32 x Earth,0.0505 AU,3.9 days,0.0,
3203,Super Earth,2014,2.79 Earths,1.48 x Earth,0.046 AU,3.6 days,0.0,
3204,Neptune-like,2014,10 Earths,0.28 x Jupiter,0.248 AU,44.7 days,0.0,
3205,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,0.4865 AU,124.5 days,0.0,
3206,Neptune-like,2014,9.01 Earths,0.263 x Jupiter,0.057 AU,4.6 days,0.0,
3207,Neptune-like,2014,12.5 Earths,0.319 x Jupiter,0.165 AU,22.7 days,0.0,
3208,Super Earth,2014,19.1 Earths,0.251 x Jupiter,0.272 AU,47.9 days,0.0,
3209,Super Earth,2012,7.5 Earths,1.639 x Earth,0.0434 AU,2.8 days,0.0,
3210,Terrestrial,2014,0.457 Earths,0.81 x Earth,0.046 AU,4.2 days,0.0,
3211,Super Earth,2014,3.09 Earths,1.57 x Earth,0.076 AU,9 days,0.0,
3212,Terrestrial,2014,0.904 Earths,0.98 x Earth,0.163 AU,28.1 days,0.0,
3213,Super Earth,2014,2.33 Earths,1.33 x Earth,0.226 AU,45.9 days,0.0,
3214,Super Earth,2014,3.57 Earths,1.71 x Earth,0.037 AU,2.8 days,0.0,
3215,Super Earth,2014,15.1 Earths,0.261 x Jupiter,0.059 AU,5.7 days,0.0,
3216,Neptune-like,2014,7.9 Earths,0.244 x Jupiter,0.087 AU,10 days,0.0,
3217,Neptune-like,2014,7.41 Earths,0.235 x Jupiter,0.13 AU,18.4 days,0.0,
3218,Neptune-like,2014,10.1 Earths,0.282 x Jupiter,0.048 AU,3.9 days,0.0,
3219,Neptune-like,2014,19.4 Earths,0.414 x Jupiter,0.091 AU,10.1 days,0.0,
3220,Neptune-like,2014,13.2 Earths,0.329 x Jupiter,0.18 AU,28.1 days,0.0,
3221,Neptune-like,2014,7.4 Earths,0.267 x Jupiter,0.0756 AU,7.4 days,0.08,
3222,Neptune-like,2014,5.1 Earths,0.307 x Jupiter,0.0916 AU,9.8 days,0.15,
3223,Neptune-like,2014,8 Earths,0.467 x Jupiter,0.1201 AU,14.8 days,0.04,
3224,Neptune-like,2014,4.8 Earths,0.41 x Jupiter,0.1455 AU,19.7 days,0.05,
3225,Super Earth,2014,2.51 Earths,1.39 x Earth,0.038 AU,3.1 days,0.0,
3226,Neptune-like,2014,9.91 Earths,0.278 x Jupiter,0.058 AU,5.9 days,0.0,
3227,Neptune-like,2014,5.9 Earths,0.205 x Jupiter,0.089 AU,11.3 days,0.0,
3228,Super Earth,2014,4.54 Earths,1.97 x Earth,0.124 AU,18.6 days,0.0,
3229,Super Earth,2014,1.87 Earths,1.2 x Earth,0.056 AU,6.7 days,0.0,
3230,Super Earth,2014,4.04 Earths,1.84 x Earth,0.111 AU,18.8 days,0.0,
3231,Super Earth,2014,24 Earths,1.55 x Earth,0.047 AU,3.9 days,0.0,
3232,Super Earth,2014,0.142 Jupiters,0.203 x Jupiter,0.058 AU,5.3 days,0.0,
3233,Super Earth,2014,1.98 Earths,1.22 x Earth,0.076 AU,8.1 days,0.0,
3234,Neptune-like,2014,9.85 Earths,0.277 x Jupiter,0.09 AU,9.5 days,0.0,
3235,Neptune-like,2014,9.48 Earths,0.271 x Jupiter,0.29 AU,54.4 days,0.0,
3236,Super Earth,2014,2.96 Earths,1.53 x Earth,0.038 AU,2.6 days,0.0,
3237,Neptune-like,2014,7.75 Earths,0.241 x Jupiter,0.052 AU,4.1 days,0.0,
3238,Neptune-like,2014,15.4 Earths,0.36 x Jupiter,0.101 AU,11.1 days,0.0,
3239,Neptune-like,2014,5.48 Earths,2.2 x Earth,0.062 AU,6.3 days,0.0,
3240,Neptune-like,2014,21.5 Earths,0.439 x Jupiter,0.117 AU,16.1 days,0.0,
3241,Neptune-like,2014,14.2 Earths,0.343 x Jupiter,0.22 AU,41.2 days,0.0,
3242,Super Earth,2011,9.1 Earths,2.1 x Earth,0.812 AU,289.9 days,< 0.72,
3243,Neptune-like,2014,16.8 Earths,0.38 x Jupiter,0.191 AU,32.6 days,0.0,
3244,Super Earth,2014,4.82 Earths,2.04 x Earth,0.38 AU,91.8 days,0.0,
3245,Super Earth,2014,35.4 Earths,1.73 x Earth,0.074 AU,10.1 days,0.0,
3246,Super Earth,2014,24.1 Earths,1.93 x Earth,0.114 AU,19.3 days,0.0,
3247,Neptune-like,2014,9.69 Earths,0.275 x Jupiter,0.054 AU,4.4 days,0.0,
3248,Neptune-like,2014,14 Earths,0.342 x Jupiter,0.101 AU,11.4 days,0.0,
3249,Neptune-like,2014,6.48 Earths,0.217 x Jupiter,0.077 AU,8.5 days,0.0,
3250,Neptune-like,2014,7.8 Earths,0.242 x Jupiter,0.287 AU,60.4 days,0.0,
3251,Neptune-like,2014,13.2 Earths,0.33 x Jupiter,0.04 AU,2.7 days,0.0,
3252,Neptune-like,2014,12.1 Earths,0.313 x Jupiter,0.077 AU,7.2 days,0.0,
3253,Neptune-like,2014,5.6 Earths,2.23 x Earth,0.037 AU,3.3 days,0.0,
3254,Super Earth,2014,2.18 Earths,1.28 x Earth,0.065 AU,7.8 days,0.0,
3255,Super Earth,2014,4.86 Earths,2.05 x Earth,0.122 AU,20.1 days,0.0,
3256,Neptune-like,2014,5.56 Earths,2.22 x Earth,0.213 AU,46.2 days,0.0,
3257,Super Earth,2014,3.09 Earths,1.57 x Earth,0.065 AU,8.3 days,0.0,
3258,Super Earth,2014,4.66 Earths,2.0 x Earth,0.132 AU,24 days,0.0,
3259,Super Earth,2014,2.57 Earths,1.41 x Earth,0.05 AU,4.7 days,0.0,
3260,Super Earth,2014,4.98 Earths,2.08 x Earth,0.071 AU,8.1 days,0.0,
3261,Super Earth,2014,3.64 Earths,1.73 x Earth,0.034 AU,2.1 days,0.0,
3262,Neptune-like,2014,6.3 Earths,0.213 x Jupiter,0.069 AU,6.2 days,0.0,
3263,Neptune-like,2014,9.64 Earths,0.274 x Jupiter,0.115 AU,13.2 days,0.0,
3264,Neptune-like,2013,0.534 Jupiters,0.5 x Jupiter,0.1658 AU,23.7 days,0.0,
3265,Super Earth,2013,13.5 Earths,2.0 x Earth,0.2747 AU,50.4 days,0.0,
3266,Neptune-like,2014,6.04 Earths,0.208 x Jupiter,0.095 AU,11.8 days,0.0,
3267,Neptune-like,2014,6.85 Earths,0.224 x Jupiter,0.268 AU,56.2 days,0.0,
3268,Neptune-like,2011,0.8 Jupiters,1.9 x Earth,0.075 AU,7.1 days,0.06,
3269,Neptune-like,2011,2.7 Jupiters,0.285 x Jupiter,0.099 AU,10.7 days,0.02,
3270,Super Earth,2014,17.6 Earths,2.2 x Earth,0.124 AU,15.3 days,0.08,
3271,Super Earth,2014,2.45 Earths,1.37 x Earth,0.048 AU,4.1 days,0.0,
3272,Super Earth,2014,0.322 Jupiters,2.2 x Earth,0.074 AU,8 days,0.0,
3273,Neptune-like,2014,6.04 Earths,0.208 x Jupiter,0.094 AU,12.7 days,0.0,
3274,Neptune-like,2014,7.13 Earths,0.229 x Jupiter,0.189 AU,36.1 days,0.0,
3275,Neptune-like,2014,7.32 Earths,0.233 x Jupiter,0.075 AU,8.2 days,0.0,
3276,Super Earth,2014,4.66 Earths,2.0 x Earth,0.109 AU,14.5 days,0.0,
3277,Neptune-like,2014,6.57 Earths,0.219 x Jupiter,0.062 AU,5.7 days,0.0,
3278,Super Earth,2014,4.62 Earths,1.99 x Earth,0.142 AU,20 days,0.0,
3279,Neptune-like,2014,8.05 Earths,0.246 x Jupiter,0.05 AU,4.3 days,0.0,
3280,Super Earth,2014,4.86 Earths,2.05 x Earth,0.087 AU,9.8 days,0.0,
3281,Super Earth,2014,15.2 Earths,0.206 x Jupiter,0.14 AU,20.1 days,0.0,
3282,Neptune-like,2014,7.13 Earths,0.229 x Jupiter,0.071 AU,7.5 days,0.0,
3283,Super Earth,2014,0.71 Jupiters,2.18 x Earth,0.124 AU,17.5 days,0.0,
3284,Neptune-like,2014,21.6 Earths,0.27 x Jupiter,0.202 AU,36.3 days,0.0,
3285,Super Earth,2016,3.71 Earths,1.75 x Earth,0.04 AU,3.2 days,0.0,
3286,Neptune-like,2014,6.08 Earths,0.209 x Jupiter,0.052 AU,4.6 days,0.0,
3287,Super Earth,2014,2.86 Earths,1.5 x Earth,0.095 AU,11.2 days,0.0,
3288,Super Earth,2014,3.33 Earths,1.64 x Earth,0.042 AU,3.3 days,0.0,
3289,Neptune-like,2014,15.7 Earths,0.365 x Jupiter,0.084 AU,9.4 days,0.0,
