id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
4741,Gas Giant,2020,2.162 Jupiters,1.205 x Jupiter,0.0143 AU,0.8 days,0.0,
4742,Gas Giant,2020,0.344 Jupiters,0.817 x Jupiter,0.201 AU,35.5 days,0.13,
4743,Gas Giant,2020,0.208 Jupiters,1.048 x Jupiter,0.0757 AU,7.5 days,0.0,
4744,Gas Giant,2021,4.84 Jupiters,1.142 x Jupiter,0.0549 AU,4.1 days,0.09,
4745,Neptune-like,2021,29.24036 Earths,0.444 x Jupiter,0.0403 AU,3.5 days,0.0,
4746,Gas Giant,2021,0.751 Jupiters,1.1 x Jupiter,0.0441 AU,3.3 days,0.0,
4747,Gas Giant,2021,0.667 Jupiters,1.3 x Jupiter,0.0523 AU,4.8 days,0.0,
4748,Gas Giant,2021,0.764 Jupiters,1.24 x Jupiter,0.0391 AU,3.2 days,0.0,
4749,Gas Giant,2021,0.409 Jupiters,1.21 x Jupiter,0.0448 AU,3.1 days,0.0,
4750,Gas Giant,2017,0.812 Jupiters,1.33 x Jupiter,0.0326 AU,2.6 days,0.02,
4751,Gas Giant,2022,2.98 Jupiters,1.07 x Jupiter,0.313 AU,54.2 days,0.43,
4752,Gas Giant,2022,2.36 Jupiters,1.33 x Jupiter,0.0236 AU,1.5 days,0.0,
4753,Gas Giant,2022,0.613 Jupiters,1.267 x Jupiter,0.0504 AU,4.1 days,0.0,
4754,Gas Giant,2022,0.52 Jupiters,1.214 x Jupiter,0.0479 AU,3.5 days,0.0,
4755,Gas Giant,2022,0.639 Jupiters,1.023 x Jupiter,0.0388 AU,2.8 days,0.0,
4756,Gas Giant,2018,0.74 Jupiters,1.595 x Jupiter,0.063 AU,4.5 days,0.0,
4757,Gas Giant,2018,2.38 Jupiters,1.48 x Jupiter,0.023 AU,1.7 days,0.0,
4758,Neptune-like,2019,20.6 Earths,0.284 x Jupiter,0.019 AU,1.3 days,0.0,
4759,Gas Giant,2019,0.229 Jupiters,1.136 x Jupiter,0.0382 AU,3.4 days,0.0,
4760,Gas Giant,2019,1.339 Jupiters,1.326 x Jupiter,0.01677 AU,0.9 days,0.0,
4761,Gas Giant,2019,0.93 Jupiters,1.09 x Jupiter,0.035 AU,2.5 days,0.01,
4762,Gas Giant,2019,2.9 Jupiters,1.07 x Jupiter,0.058 AU,4.4 days,0.06,
4763,Gas Giant,2010,7.33 Jupiters,1.13 x Jupiter,5.35 AU,15.3 years,0.08,Eclipse Timing Variations
4764,Gas Giant,2010,2.3 Jupiters,1.19 x Jupiter,3.43 AU,7.9 years,0.19,Eclipse Timing Variations
4765,Gas Giant,2019,14.15 Jupiters,1.1 x Jupiter,3.12 AU,8.8 years,0.12,Eclipse Timing Variations
4766,Gas Giant,2016,2.4 Jupiters,1.18 x Jupiter,1.25 AU,417 days,0.11,
4767,Gas Giant,2012,22.206 Jupiters,1.07 x Jupiter,1.79 AU,1.5 years,0.12,
4768,Gas Giant,2012,24.662 Jupiters,1.07 x Jupiter,5.931 AU,8.7 years,0.18,
4769,Gas Giant,2011,2.3 Jupiters,1.19 x Jupiter,3.3 AU,8.7 years,0.15,Eclipse Timing Variations
4770,Gas Giant,2019,5.54 Jupiters,1.14 x Jupiter,Unknown,24.1 years,0.15,Eclipse Timing Variations
4771,Gas Giant,2004,2.6 Jupiters,1.18 x Jupiter,4.3 AU,11.2 years,0.0,
4772,Gas Giant,2005,3.8 Jupiters,1.16 x Jupiter,3.6 AU,10.1 years,0.0,
4773,Neptune-like,2006,14.1 Earths,0.343 x Jupiter,3.5 AU,7.9 years,0.0,
4774,Neptune-like,2005,5.5 Earths,2.21 x Earth,2.6 AU,9 years,0.0,
4775,Gas Giant,2008,0.727 Jupiters,1.25 x Jupiter,2.3 AU,4.9 years,0.0,
4776,Gas Giant,2008,0.27 Jupiters,0.994 x Jupiter,4.5 AU,13.5 years,0.15,
4777,Gas Giant,2020,0.45307 Jupiters,1.27 x Jupiter,2.17 AU,5.4 years,0.0,
4778,Gas Giant,2016,0.25171 Jupiters,0.952 x Jupiter,2.59 AU,7 years,0.0,
4779,Neptune-like,2009,20 Earths,0.421 x Jupiter,2.8 AU,5.9 years,0.0,
4780,Gas Giant,2014,0.18 Jupiters,0.78 x Jupiter,15.0 AU,69 years,0.0,
4781,Gas Giant,2014,4.6 Jupiters,1.15 x Jupiter,1.7 AU,3.6 years,0.0,
4782,Gas Giant,2018,0.19 Jupiters,0.804 x Jupiter,8.0 AU,35.4 years,0.0,
4783,Gas Giant,2012,0.53 Jupiters,1.27 x Jupiter,2.72 AU,8.8 years,0.0,
4784,Gas Giant,2015,0.88 Jupiters,1.24 x Jupiter,1.89 AU,5.7 years,0.0,
4785,Gas Giant,2012,0.145 Jupiters,0.688 x Jupiter,4.0 AU,7.8 years,0.0,
4786,Gas Giant,2012,0.86 Jupiters,1.24 x Jupiter,4.8 AU,10.2 years,0.0,
4787,Gas Giant,2013,1.85 Jupiters,1.2 x Jupiter,0.87 AU,5.7 years,0.0,
4788,Gas Giant,2013,2.73 Jupiters,1.18 x Jupiter,3.45 AU,9.7 years,0.0,
4789,Gas Giant,2015,0.39 Jupiters,1.21 x Jupiter,0.74 AU,398.7 days,0.0,
4790,Gas Giant,2016,0.47 Jupiters,1.27 x Jupiter,1.6 AU,3.8 years,0.0,
4791,Gas Giant,2020,0.167 Jupiters,0.748 x Jupiter,4.43 AU,14.8 years,0.0,
4792,Neptune-like,2016,35 Earths,0.585 x Jupiter,2.6 AU,5.6 years,0.0,
4793,Gas Giant,2014,13 Jupiters,1.1 x Jupiter,0.8 AU,2.3 years,0.0,
4794,Gas Giant,2017,0.29 Jupiters,1.03 x Jupiter,3.6 AU,9.3 years,0.0,
4795,Super Earth,2014,1.66 Earths,1.16 x Earth,0.702 AU,1.8 years,0.0,
4796,Gas Giant,2019,9.51 Jupiters,1.12 x Jupiter,0.39 AU,165.2 days,0.0,
4797,Gas Giant,2017,0.64 Jupiters,1.26 x Jupiter,2.6 AU,6.2 years,0.0,
4798,Gas Giant,2018,2.7 Jupiters,1.18 x Jupiter,1.8 AU,4.2 years,0.0,
4799,Gas Giant,2015,0.51 Jupiters,1.27 x Jupiter,3.11 AU,6.5 years,0.0,
4800,Gas Giant,2022,0.57 Jupiters,1.26 x Jupiter,3.49 AU,9 years,0.0,
4801,Gas Giant,2016,3.68 Jupiters,1.16 x Jupiter,4.53 AU,11.3 years,0.0,
4802,Gas Giant,2018,0.174 Jupiters,0.766 x Jupiter,1.5 AU,2.9 years,0.0,
4803,Gas Giant,2018,0.263 Jupiters,0.978 x Jupiter,1.7 AU,3.5 years,0.0,
4804,Gas Giant,2016,0.56 Jupiters,1.26 x Jupiter,1.75 AU,3.2 years,0.0,
4805,Gas Giant,2016,0.72 Jupiters,1.25 x Jupiter,0.73 AU,2 years,0.0,
4806,Gas Giant,2016,3.4 Jupiters,1.17 x Jupiter,1.6 AU,3.7 years,0.0,
4807,Neptune-like,2016,21 Earths,0.433 x Jupiter,2.7 AU,7.2 years,0.0,
4808,Gas Giant,2019,2.54 Jupiters,1.18 x Jupiter,2.07 AU,5.1 years,0.0,
4809,Neptune-like,2019,17.9 Earths,0.394 x Jupiter,2.62 AU,5.7 years,0.0,
4810,Gas Giant,2020,0.433 Jupiters,1.28 x Jupiter,0.85 AU,2.8 years,0.0,
4811,Gas Giant,2017,4.1 Jupiters,1.16 x Jupiter,5.4 AU,34.8 years,0.0,
4812,Gas Giant,2017,4.18 Jupiters,1.16 x Jupiter,6.4 AU,19.1 years,0.0,
4813,Gas Giant,2019,0.43 Jupiters,1.28 x Jupiter,1.7 AU,4 years,0.0,
4814,Gas Giant,2022,0.71 Jupiters,1.25 x Jupiter,2.13 AU,4.6 years,0.0,
4815,Gas Giant,2017,13.38 Jupiters,1.1 x Jupiter,2.17 AU,3.3 years,0.42,
4816,Super Earth,2017,1.43 Earths,1.11 x Earth,1.16 AU,4.4 years,0.0,
4817,Gas Giant,2020,0.79 Jupiters,1.24 x Jupiter,3.4 AU,19.8 years,0.0,
4818,Super Earth,2018,3.269 Earths,1.62 x Earth,3.913 AU,12.2 years,0.0,
4819,Gas Giant,2018,0.401 Jupiters,1.25 x Jupiter,2.424 AU,7.6 years,0.0,
4820,Gas Giant,2020,0.41 Jupiters,1.27 x Jupiter,3.5 AU,8.8 years,0.0,
4821,Neptune-like,2018,9 Earths,0.263 x Jupiter,1.8 AU,5.4 years,0.0,
4822,Gas Giant,2020,0.51 Jupiters,1.27 x Jupiter,4.06 AU,9.8 years,0.0,
4823,Gas Giant,2020,5.53 Jupiters,1.14 x Jupiter,3.92 AU,10.5 years,0.0,
4824,Gas Giant,2021,3.02 Jupiters,1.17 x Jupiter,2.73 AU,6.7 years,0.0,
4825,Gas Giant,2018,1.59 Jupiters,1.21 x Jupiter,1.02 AU,2.2 years,0.0,
4826,Gas Giant,2020,11.28 Jupiters,1.11 x Jupiter,3.04 AU,5.9 years,0.0,
4827,Super Earth,2018,4.43 Earths,1.94 x Earth,1.18 AU,2.7 years,0.0,
4828,Gas Giant,2018,0.75 Jupiters,1.25 x Jupiter,0.59 AU,2.3 years,0.0,
4829,Neptune-like,2022,14.62011 Earths,0.35 x Jupiter,2.41 AU,5.6 years,0.0,
4830,Neptune-like,2023,5.27 Earths,2.15 x Earth,1.75 AU,3.8 years,0.0,
